Palavra-Chave,Respostas
pocesso,"🙎🏽 Para saber se o seu processo já está distribuído na JFBA, preencha o campo com o seu *CPF* no link https://pje1g.trf1.jus.br/consultapublica/ConsultaPublica/listView.seam  e clique em *PESQUISAR*. 

🧔🏻 Para consulta detalhada do seu *processo do JEF*, clique no link: https://wa.me/557734238934  

Voce também pode *consultar o andamento do seu processo* nos links abaixo: 
*PJe* - https://pje1g.trf1.jus.br/consultapublica/ConsultaPublica/listView.seam 

*Processual* - https://processual.trf1.jus.br/consultaProcessual/numeroProcesso.php?secao=BA&enviar=ok 

Se quiser ser informado por 📧 toda vez que seu processo for movimentado, cadastre-se no *Sistema Push do PJE* no link https://pje1g.trf1.jus.br/pje/Push/loginPush.seam  e/ou no *Sistema Push do Processual* no link https://portal.trf1.jus.br/Processos/Push/   

Se quiser entrar em contato com a Vara onde o seu processo está tramitando, digite *vara*.

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão. Se o seu processo está concluso, aguarde e volte a consultá-lo nesse mesmo canal de atendimento._"
certidão,"🙎🏽 Se precisa de uma certidão de Pessoa Física ou Pessoa Jurídica,  acesse https://sistemas.trf1.jus.br/certidao/#/  e preencha os dados em *SOLICITAR CERTIDÃO*.   

Digite *militância* para informações sobre certidão de prática jurídica. 

*Dúvidas e orientações* sobre certidões, entre em contato conosco através do e-mail sepra.ba@trf1.jus.br  ou do telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
certidao,"🙎🏽 Se precisa de uma certidão de Pessoa Física ou Pessoa Jurídica,  acesse https://sistemas.trf1.jus.br/certidao/#/  e preencha os dados em *SOLICITAR CERTIDÃO*.   

Digite *militância* para informações sobre certidão de prática jurídica. 

*Dúvidas e orientações* sobre certidões, entre em contato conosco através do e-mail sepra.ba@trf1.jus.br  ou do telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
certidões,"🙎🏽 Se precisa de uma certidão de Pessoa Física ou Pessoa Jurídica,  acesse https://sistemas.trf1.jus.br/certidao/#/  e preencha os dados em *SOLICITAR CERTIDÃO*.   

Digite *militância* para informações sobre certidão de prática jurídica. 

*Dúvidas e orientações* sobre certidões, entre em contato conosco através do e-mail sepra.ba@trf1.jus.br  ou do telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
certidoes,"🙎🏽 Se precisa de uma certidão de Pessoa Física ou Pessoa Jurídica,  acesse https://sistemas.trf1.jus.br/certidao/#/  e preencha os dados em *SOLICITAR CERTIDÃO*.   

Digite *militância* para informações sobre certidão de prática jurídica. 

*Dúvidas e orientações* sobre certidões, entre em contato conosco através do e-mail sepra.ba@trf1.jus.br  ou do telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
nada consta,"🙎🏽 Se precisa de uma certidão de Pessoa Física ou Pessoa Jurídica,  acesse https://sistemas.trf1.jus.br/certidao/#/  e preencha os dados em *SOLICITAR CERTIDÃO*.   

Digite *militância* para informações sobre certidão de prática jurídica. 

*Dúvidas e orientações* sobre certidões, entre em contato conosco através do e-mail sepra.ba@trf1.jus.br  ou do telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
militância,"🙎🏽 Para obter *certidão de militância* para fins de certificação de prática jurídica, o advogado deve encaminhar requerimento através do *e-mail da Vara*, informando *o nº do processo, nome completo e OAB*, junto com o *comprovante de pagamento das custas.* 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

Digite *CUSTAS* para acessar os links."
prática jurídica,"🙎🏽 Para obter *certidão de militância* para fins de certificação de prática jurídica, o advogado deve encaminhar requerimento através do *e-mail da Vara*, informando *o nº do processo, nome completo e OAB*, junto com o *comprovante de pagamento das custas.* 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

Digite *CUSTAS* para acessar os links."
pratica juridica,"🙎🏽 Para obter *certidão de militância* para fins de certificação de prática jurídica, o advogado deve encaminhar requerimento através do *e-mail da Vara*, informando *o nº do processo, nome completo e OAB*, junto com o *comprovante de pagamento das custas.* 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

Digite *CUSTAS* para acessar os links."
prática juridica,"🙎🏽 Para obter *certidão de militância* para fins de certificação de prática jurídica, o advogado deve encaminhar requerimento através do *e-mail da Vara*, informando *o nº do processo, nome completo e OAB*, junto com o *comprovante de pagamento das custas.* 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

Digite *CUSTAS* para acessar os links."
atuação,"🙎🏽 Para obter *certidão de militância* para fins de certificação de prática jurídica, o advogado deve encaminhar requerimento através do *e-mail da Vara*, informando *o nº do processo, nome completo e OAB*, junto com o *comprovante de pagamento das custas.* 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

Digite *CUSTAS* para acessar os links."
militancia,"🙎🏽 Para obter *certidão de militância* para fins de certificação de prática jurídica, o advogado deve encaminhar requerimento através do *e-mail da Vara*, informando *o nº do processo, nome completo e OAB*, junto com o *comprovante de pagamento das custas.* 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

Digite *CUSTAS* para acessar os links."
pje,"🙎🏽 O PJe (https://pje1g.trf1.jus.br) é uma plataforma onde tramitam os Processos Judiciais Eletrônicos.

Para orientações de acesso ao PJe, digite *ACESSO-PJE*.

Na página do CNJ (https://www.cnj.jus.br/programas-e-acoes/processo-judicial-eletronico-pje/ ) você encontra todas as informações sobre o PJe.

O Manual do PJe para Advogados pode ser acessado no link https://www.pje.jus.br/wiki/index.php/Manual_do_Advogado"
ACESSO-PJE,"🙎🏽 - *Acesso ao PJe com certificado digital*

Para se cadastrar no PJe é necessário ter um certificado digital válido, do tipo A3, que pertença à cadeia ICP-Brasil, para mais informações acesse o link http://receita.economia.gov.br/orientacao/tributaria/senhas-e-procuracoes/senhas/certificados-digitais/orientacoes-sobre-emissao-renovacao-e-revogacao-de-certificados-digitais-e-cpf-ou-e-cnpj .

*Procedimentos para se cadastrar no PJe*

1- Insira o seu certificado digital em seu computador.
2- Na página de login do PJe, clique no botão Certificado digital.
3- Insira a senha do seu certificado digital.
4- Confirme as suas informações pessoais no formulário apresentado.
5- Assine o Termo de Compromisso.
Após seguir este procedimento, o seu cadastro estará concluído.
Para acessar o sistema, clique no botão _""Certificado digital""_ na tela de login do PJe.

🙎🏽 - *Acesso com login e senha para quem já possui certificado digital*

Primeiramente, é necessário realizar o cadastro utilizando o certificado digital.

Para acessar o sistema, clique no link _""Solicitar nova senha""_ na tela de login do PJe, informe o CPF/CNPJ (apenas números), o e-mail cadastrado no sistema e clique no botão _""Solicitar""_.

O sistema encaminhará para o e-mail informado as instruções de cadastro de uma nova senha.

🙎🏽 - *Acesso para quem não possui o certificado digital*

Partes e peritos que não tem Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital), deverão manter contato com servidor por e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h.

Para mais informações sobre como acessar o PJe, acesse a wiki em http://www.pje.jus.br/wiki/index.php/Acesso_ao_PJe"
protocolo,"🙎🏽 *CADASTRAMENTO DE JUS POSTULANDI PARA PJe*  - Para partes e peritos que não têm Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital). O interessado deverá manter contato com servidor por e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h.

🙎🏽 *CADASTRAMENTO DE ADVOGADOS PELO PROVIMENTO 15/2014 DO CJF* -  O(a) advogado(a) deverá encaminhar cópia dos documentos exigidos para o cadastramento em cada sistema processual dos Tribunais Regionais Federais para o e-mail sepra.ba@trf1.jus.br ou ligar para o telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
protocolar,"🙎🏽 *CADASTRAMENTO DE JUS POSTULANDI PARA PJe*  - Para partes e peritos que não têm Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital). O interessado deverá manter contato com servidor por e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h.

🙎🏽 *CADASTRAMENTO DE ADVOGADOS PELO PROVIMENTO 15/2014 DO CJF* -  O(a) advogado(a) deverá encaminhar cópia dos documentos exigidos para o cadastramento em cada sistema processual dos Tribunais Regionais Federais para o e-mail sepra.ba@trf1.jus.br ou ligar para o telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
contadoria,"🙎🏽 *TABELA DE CUSTAS PROCESSUAIS* - Visualizar a  Tabela de custas no link https://www.trf1.jus.br/trf1/processual/calculo-de-custas-e-despesas-processuais 

🙎🏽 *CÁLCULO E CUSTAS PROCESSUAIS*  - Preencher formulário com dados do processo para gerar GRU no link https://portal.trf1.jus.br/Processos/CalculoDeCustas/index.php 

🙎🏽 *G.R.U* - Caso o link esteja indisponível, consultar site do Tesouro Nacional para preenchimento direto do formulário GRU https://pagtesouro.tesouro.gov.br/portal-gru/#/emissao-grusp 

🙎🏽 *DADOS PARA PREENCHIMENTO DA GRU* - Código de Unidade Gestora/Gestão https://www.trf1.jus.br/sjba/processual/calculos-custas-e-despesas-processuais  
Clicar em *Dados para preenchimento da GRU*

🙎🏽 *MANUAL DE CÁLCULOS DA JUSTIÇA FEDERAL/CNJ E TABELA DE CORREÇÃO MONETÁRIA* - Clique no link https://www.trf1.jus.br/trf1/conteudo/codigo/manual_de_calculos_revisado_ultima_versao_com_resolucao_e_apresentacao.pdfhp 
 
🙎🏽 *CONSULTA RECOLHIMENTO DE CUSTAS* - A consulta de recolhimento de custas judiciais da Justiça Federal pode ser feita no site do Supremo Tribunal Federal (STF): https://portal.stf.jus.br/recolhimentoDeCustas/verificaPagamentos.asp
Informe o CPF ou CNPJ do responsável pelo pagamento e o número de referência, que é a chave identificadora da forma de recolhimento"
cálculos,"🙎🏽 *TABELA DE CUSTAS PROCESSUAIS* - Visualizar a  Tabela de custas no link https://www.trf1.jus.br/trf1/processual/calculo-de-custas-e-despesas-processuais 

🙎🏽 *CÁLCULO E CUSTAS PROCESSUAIS*  - Preencher formulário com dados do processo para gerar GRU no link https://portal.trf1.jus.br/Processos/CalculoDeCustas/index.php 

🙎🏽 *G.R.U* - Caso o link esteja indisponível, consultar site do Tesouro Nacional para preenchimento direto do formulário GRU https://pagtesouro.tesouro.gov.br/portal-gru/#/emissao-grusp 

🙎🏽 *DADOS PARA PREENCHIMENTO DA GRU* - Código de Unidade Gestora/Gestão https://www.trf1.jus.br/sjba/processual/calculos-custas-e-despesas-processuais  
Clicar em *Dados para preenchimento da GRU*

🙎🏽 *MANUAL DE CÁLCULOS DA JUSTIÇA FEDERAL/CNJ E TABELA DE CORREÇÃO MONETÁRIA* - Clique no link https://www.trf1.jus.br/trf1/conteudo/codigo/manual_de_calculos_revisado_ultima_versao_com_resolucao_e_apresentacao.pdfhp 
 
🙎🏽 *CONSULTA RECOLHIMENTO DE CUSTAS* - A consulta de recolhimento de custas judiciais da Justiça Federal pode ser feita no site do Supremo Tribunal Federal (STF): https://portal.stf.jus.br/recolhimentoDeCustas/verificaPagamentos.asp
Informe o CPF ou CNPJ do responsável pelo pagamento e o número de referência, que é a chave identificadora da forma de recolhimento"
custas,"🙎🏽 *TABELA DE CUSTAS PROCESSUAIS* - Visualizar a  Tabela de custas no link https://www.trf1.jus.br/trf1/processual/calculo-de-custas-e-despesas-processuais 

🙎🏽 *CÁLCULO E CUSTAS PROCESSUAIS*  - Preencher formulário com dados do processo para gerar GRU no link https://portal.trf1.jus.br/Processos/CalculoDeCustas/index.php 

🙎🏽 *G.R.U* - Caso o link esteja indisponível, consultar site do Tesouro Nacional para preenchimento direto do formulário GRU https://pagtesouro.tesouro.gov.br/portal-gru/#/emissao-grusp 

🙎🏽 *DADOS PARA PREENCHIMENTO DA GRU* - Código de Unidade Gestora/Gestão https://www.trf1.jus.br/sjba/processual/calculos-custas-e-despesas-processuais  
Clicar em *Dados para preenchimento da GRU*

🙎🏽 *MANUAL DE CÁLCULOS DA JUSTIÇA FEDERAL/CNJ E TABELA DE CORREÇÃO MONETÁRIA* - Clique no link https://www.trf1.jus.br/trf1/conteudo/codigo/manual_de_calculos_revisado_ultima_versao_com_resolucao_e_apresentacao.pdfhp 
 
🙎🏽 *CONSULTA RECOLHIMENTO DE CUSTAS* - A consulta de recolhimento de custas judiciais da Justiça Federal pode ser feita no site do Supremo Tribunal Federal (STF): https://portal.stf.jus.br/recolhimentoDeCustas/verificaPagamentos.asp
Informe o CPF ou CNPJ do responsável pelo pagamento e o número de referência, que é a chave identificadora da forma de recolhimento"
custa,"🙎🏽 *TABELA DE CUSTAS PROCESSUAIS* - Visualizar a  Tabela de custas no link https://www.trf1.jus.br/trf1/processual/calculo-de-custas-e-despesas-processuais 

🙎🏽 *CÁLCULO E CUSTAS PROCESSUAIS*  - Preencher formulário com dados do processo para gerar GRU no link https://portal.trf1.jus.br/Processos/CalculoDeCustas/index.php 

🙎🏽 *G.R.U* - Caso o link esteja indisponível, consultar site do Tesouro Nacional para preenchimento direto do formulário GRU https://pagtesouro.tesouro.gov.br/portal-gru/#/emissao-grusp 

🙎🏽 *DADOS PARA PREENCHIMENTO DA GRU* - Código de Unidade Gestora/Gestão https://www.trf1.jus.br/sjba/processual/calculos-custas-e-despesas-processuais  
Clicar em *Dados para preenchimento da GRU*

🙎🏽 *MANUAL DE CÁLCULOS DA JUSTIÇA FEDERAL/CNJ E TABELA DE CORREÇÃO MONETÁRIA* - Clique no link https://www.trf1.jus.br/trf1/conteudo/codigo/manual_de_calculos_revisado_ultima_versao_com_resolucao_e_apresentacao.pdfhp 
 
🙎🏽 *CONSULTA RECOLHIMENTO DE CUSTAS* - A consulta de recolhimento de custas judiciais da Justiça Federal pode ser feita no site do Supremo Tribunal Federal (STF): https://portal.stf.jus.br/recolhimentoDeCustas/verificaPagamentos.asp
Informe o CPF ou CNPJ do responsável pelo pagamento e o número de referência, que é a chave identificadora da forma de recolhimento"
guia,🙎🏽 Você precisa de informações sobre Guia de *recolhimento* ou de *depósito*?
guias,🙎🏽 Você precisa de informações sobre Guia de *recolhimento* ou de *depósito*?
gru,"🙎🏽 *TABELA DE CUSTAS PROCESSUAIS* - Visualizar a Tabela de custas no link https://www.trf1.jus.br/trf1/conteudo/codigo/PortariaPresi298_2021_Consolidadaem26_07_2022%20_1_.pdf

🙎🏽 *CÁLCULO E CUSTAS PROCESSUAIS* - Preencher formulário com dados do processo para gerar GRU no link https://portal.trf1.jus.br/Processos/CalculoDeCustas/index.php

🙎🏽 *G.R.U* Caso o link esteja indisponível, consultar site do Tesouro Nacional para preenchimento direto do formulário GRU https://pagtesouro.tesouro.gov.br/portal-gru/#/emissao-grup

🙎🏽 *DADOS PARA PREENCHIMENTO DA GRU* - Código de Unidade Gestora/Gestão https://www.trf1.jus.br/sjba/processual/calculos-custas-e-despesas-processuais
Clicar em *Dados para preenchimento da GRU*

🙎🏽 *CONSULTA RECOLHIMENTO DE CUSTAS* - A consulta de recolhimento de custas judiciais da Justiça Federal pode ser feita no site do Supremo Tribunal Federal (STF): https://portal.stf.jus.br/recolhimentoDeCustas/verificaPagamentos.asp
 Informe o CPF ou CNPJ do responsável pelo pagamento e o número de referência, que é a chave identificadora da forma de recolhimento"
recolhimento,"🙎🏽 *TABELA DE CUSTAS PROCESSUAIS* - Visualizar a Tabela de custas no link https://www.trf1.jus.br/trf1/conteudo/codigo/PortariaPresi298_2021_Consolidadaem26_07_2022%20_1_.pdf

🙎🏽 *CÁLCULO E CUSTAS PROCESSUAIS* - Preencher formulário com dados do processo para gerar GRU no link https://portal.trf1.jus.br/Processos/CalculoDeCustas/index.php

🙎🏽 *G.R.U* Caso o link esteja indisponível, consultar site do Tesouro Nacional para preenchimento direto do formulário GRU https://pagtesouro.tesouro.gov.br/portal-gru/#/emissao-grup

🙎🏽 *DADOS PARA PREENCHIMENTO DA GRU* - Código de Unidade Gestora/Gestão https://www.trf1.jus.br/sjba/processual/calculos-custas-e-despesas-processuais
Clicar em *Dados para preenchimento da GRU*

🙎🏽 *CONSULTA RECOLHIMENTO DE CUSTAS* - A consulta de recolhimento de custas judiciais da Justiça Federal pode ser feita no site do Supremo Tribunal Federal (STF): https://portal.stf.jus.br/recolhimentoDeCustas/verificaPagamentos.asp
 Informe o CPF ou CNPJ do responsável pelo pagamento e o número de referência, que é a chave identificadora da forma de recolhimento"
guia de depósito,"🙎🏽 *GUIA DE DEPÓSITO JUDICIAL* - (Artigos 244, 403 e 404 do Provimento COGER 10126799) 
A guia de depósito judicial, cujo preenchimento é de responsabilidade do interessado, poderá ser gerada diretamente no site da Caixa Econômica Federal, acessando o link https://depositojudicial.caixa.gov.br/sigsj_internet/depositos-judiciais/justica-federal/"
despósito judicial,"🙎🏽 *GUIA DE DEPÓSITO JUDICIAL* - (Artigos 244, 403 e 404 do Provimento COGER 10126799) 
A guia de depósito judicial, cujo preenchimento é de responsabilidade do interessado, poderá ser gerada diretamente no site da Caixa Econômica Federal, acessando o link https://depositojudicial.caixa.gov.br/sigsj_internet/depositos-judiciais/justica-federal/"
guia de depósito judicial,"🙎🏽 *GUIA DE DEPÓSITO JUDICIAL* - (Artigos 244, 403 e 404 do Provimento COGER 10126799) 
A guia de depósito judicial, cujo preenchimento é de responsabilidade do interessado, poderá ser gerada diretamente no site da Caixa Econômica Federal, acessando o link https://depositojudicial.caixa.gov.br/sigsj_internet/depositos-judiciais/justica-federal/"
deposito judicial,"🙎🏽 *GUIA DE DEPÓSITO JUDICIAL* - (Artigos 244, 403 e 404 do Provimento COGER 10126799) 
A guia de depósito judicial, cujo preenchimento é de responsabilidade do interessado, poderá ser gerada diretamente no site da Caixa Econômica Federal, acessando o link https://depositojudicial.caixa.gov.br/sigsj_internet/depositos-judiciais/justica-federal/"
deposito,"🙎🏽 *GUIA DE DEPÓSITO JUDICIAL* - (Artigos 244, 403 e 404 do Provimento COGER 10126799) 
A guia de depósito judicial, cujo preenchimento é de responsabilidade do interessado, poderá ser gerada diretamente no site da Caixa Econômica Federal, acessando o link https://depositojudicial.caixa.gov.br/sigsj_internet/depositos-judiciais/justica-federal/"
depósito,"🙎🏽 *GUIA DE DEPÓSITO JUDICIAL* - (Artigos 244, 403 e 404 do Provimento COGER 10126799) 
A guia de depósito judicial, cujo preenchimento é de responsabilidade do interessado, poderá ser gerada diretamente no site da Caixa Econômica Federal, acessando o link https://depositojudicial.caixa.gov.br/sigsj_internet/depositos-judiciais/justica-federal/"
Distribuição,"🙎🏽 Escolha um dos assuntos relacionados à Distribuição:

▪️ *Ação Judicial*
▪️ *Certidão (Nada Consta)*
▪️ *Consulta processual*
▪️ *Jus Postulandi* (cadastro)
▪️ *Plantão Judicial*"
distribuição,"🙎🏽 Escolha um dos assuntos relacionados à Distribuição:

▪️ *Ação Judicial*
▪️ *Certidão (Nada Consta)*
▪️ *Consulta processual*
▪️ *Jus Postulandi* (cadastro)
▪️ *Plantão Judicial*"
distribuicao,"🙎🏽 Escolha um dos assuntos relacionados à Distribuição:

▪️ *Ação Judicial*
▪️ *Certidão (Nada Consta)*
▪️ *Consulta processual*
▪️ *Jus Postulandi* (cadastro)
▪️ *Plantão Judicial*"
jus postulandi,"🙎🏽 *CADASTRAMENTO DE JUS POSTULANDI PARA PJe*  
- Para partes e peritos que não tem Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital). 

O interessado deverá manter contato com servidor por e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
postulandi,"🙎🏽 *CADASTRAMENTO DE JUS POSTULANDI PARA PJe*  
- Para partes e peritos que não tem Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital). 

O interessado deverá manter contato com servidor por e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
postulante,"🙎🏽 *CADASTRAMENTO DE JUS POSTULANDI PARA PJe*  
- Para partes e peritos que não tem Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital). 

O interessado deverá manter contato com servidor por e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
ação judicial,"🧔🏻Para dar entrada no seu processo no Juizado Especial Federal (contra *INSS*, *Caixa*, *União*, *Correios*, ou outros), sem advogado ou Defensor Público, o seu pedido deve ser feito através do link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online  

Se preferir abrir um processo com *Defensor Público da União* ou precise de orientações jurídicas sobre processo em andamento (ex: o que deve fazer, como proceder), entre em contato com a *DPU* clicando em https://www.dpu.def.br/endereco-bahia   

Para o(a) *advogado(a)* ingressar com uma Ação Judicial na Justiça Federal deve obter o *Certificado Digital* (TOKEN), acessar o sistema *PJe*, cadastrar e distribuir o processo através do link https://pje1g.trf1.jus.br/pje/login.seam. Para processos no JEF, utilize a Classe *PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436) no cadastro.*

🙎🏽 *CADASTRAMENTO DE JUS POSTULANDI PARA PJe*  - Para partes e peritos que não têm Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital). O interessado deverá manter contato com servidor através do e-mail sepra.ba@trf1.jus.br  ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h.

🙎🏽 *Dúvidas, orientações,erro ou validação do *TOKEN*, entre em contato conosco através do e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
ação,"🧔🏻Para dar entrada no seu processo no Juizado Especial Federal (contra *INSS*, *Caixa*, *União*, *Correios*, ou outros), sem advogado ou Defensor Público, o seu pedido deve ser feito através do link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online  

Se preferir abrir um processo com *Defensor Público da União* ou precise de orientações jurídicas sobre processo em andamento (ex: o que deve fazer, como proceder), entre em contato com a *DPU* clicando em https://www.dpu.def.br/endereco-bahia   

Para o(a) *advogado(a)* ingressar com uma Ação Judicial na Justiça Federal deve obter o *Certificado Digital* (TOKEN), acessar o sistema *PJe*, cadastrar e distribuir o processo através do link https://pje1g.trf1.jus.br/pje/login.seam. Para processos no JEF, utilize a Classe *PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436) no cadastro.*

🙎🏽 *CADASTRAMENTO DE JUS POSTULANDI PARA PJe*  - Para partes e peritos que não têm Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital). O interessado deverá manter contato com servidor através do e-mail sepra.ba@trf1.jus.br  ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h.

🙎🏽 *Dúvidas, orientações,erro ou validação do *TOKEN*, entre em contato conosco através do e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
acao,"🧔🏻Para dar entrada no seu processo no Juizado Especial Federal (contra *INSS*, *Caixa*, *União*, *Correios*, ou outros), sem advogado ou Defensor Público, o seu pedido deve ser feito através do link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online  

Se preferir abrir um processo com *Defensor Público da União* ou precise de orientações jurídicas sobre processo em andamento (ex: o que deve fazer, como proceder), entre em contato com a *DPU* clicando em https://www.dpu.def.br/endereco-bahia   

Para o(a) *advogado(a)* ingressar com uma Ação Judicial na Justiça Federal deve obter o *Certificado Digital* (TOKEN), acessar o sistema *PJe*, cadastrar e distribuir o processo através do link https://pje1g.trf1.jus.br/pje/login.seam. Para processos no JEF, utilize a Classe *PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436) no cadastro.*

🙎🏽 *CADASTRAMENTO DE JUS POSTULANDI PARA PJe*  - Para partes e peritos que não têm Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital). O interessado deverá manter contato com servidor através do e-mail sepra.ba@trf1.jus.br  ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h.

🙎🏽 *Dúvidas, orientações,erro ou validação do *TOKEN*, entre em contato conosco através do e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
token,"🙎🏽 *CADASTRAMENTO DE JUS POSTULANDI PARA PJe*  
- Para partes e peritos que não tem Certificado Digital (TOKEN) e precisam visualizar peças de seus processos no PJe, no 1º Grau, na Seção Judiciária do Estado da Bahia (Capital). 

O interessado deverá manter contato com servidor por e-mail sepra.ba@trf1.jus.br ou telefone (71) 3617-9114, de segunda a sexta-feira, das 09h às 16h."
05VF,"*5ª VARA JEF*
E-mail: 05vara.ba@trf1.jus.br  

Telefone:  
09:00h às 18:00h - (71) 3616-4655

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-05VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/5-vara-jef"
5VF,"*5ª VARA JEF*
E-mail: 05vara.ba@trf1.jus.br  

Telefone:  
09:00h às 18:00h - (71) 3616-4655

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-05VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/5-vara-jef"
05-VF,"*5ª VARA JEF*
E-mail: 05vara.ba@trf1.jus.br  

Telefone:  
09:00h às 18:00h - (71) 3616-4655

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-05VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/5-vara-jef"
05vjef,"*5ª VARA JEF*
E-mail: 05vara.ba@trf1.jus.br  

Telefone:  
09:00h às 18:00h - (71) 3616-4655

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-05VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/5-vara-jef"
